position,player,country,points,birthdate,age,place_of_birth,height_m,playing_side,profile_url
59,Enrique Goenaga,ESP,1099,22/01/2002,24,Palma de Mallorca,1.8,Right,https://www.padelfip.com/es/player/enrique-goenaga/
60,Denis Tomas Perino,ITA,1054,08/01/1996,30,Córdoba,1.74,Right,https://www.padelfip.com/es/player/denis-tomas-perino/
61,Juan Ignacio Rubini,ARG,1053,03/09/2006,19,Chacabuco,1.85,Right,https://www.padelfip.com/es/player/juan-ignacio-rubini/
62,Antonio Fernandez,ESP,1043,16/08/1992,33,Badajoz,1.8,Left,https://www.padelfip.com/es/player/antonio-fernandez/
63,Manuel Castaño Salguero,ESP,1039,03/10/2008,17,Madrid,1.86,Left,https://www.padelfip.com/es/player/manuel-castano-salguero/
64,Andres Fernandez Lancha,ESP,1038,02/03/2005,21,Madrid,1.92,Left,https://www.padelfip.com/es/player/andres-fernandez-lancha/
65,Maximiliano Sanchez,ARG,1036,15/12/1986,39,Villa Mercedes,1.83,Left,https://www.padelfip.com/es/player/maximiliano-sanchez/
66,Francisco Cabeza Teres,ESP,1024,05/12/2007,18,Marbella,1.8,Right,https://www.padelfip.com/es/player/francisco-cabeza-teres/
67,Mario Ortega,ESP,1023,11/11/2002,23,Massamagrell,1.75,Right,https://www.padelfip.com/es/player/mario-ortega/
68,Nuno Deus,POR,1021,07/05/1995,31,Lisboa,1.84,Left,https://www.padelfip.com/es/player/nuno-deus/
69,Flavio Abbate,ITA,1011,31/07/2004,21,Siracusa,1.84,Right,https://www.padelfip.com/es/player/flavio-abbate/
70,Marc Quilez,ESP,995,22/09/1995,30,Barcelona,1.92,Left,https://www.padelfip.com/es/player/marc-quilez/
71,Federico Mouriño,ARG,950,05/10/1999,26,San Martín de los Andes,1.75,Right,https://www.padelfip.com/es/player/federico-mourino/
71,Ignacio Sager,ESP,950,28/08/1997,28,Malabrigo,1.98,Left,https://www.padelfip.com/es/player/ignacio-sager/
73,Ignacio Vilariño Gestoso,UAE,932,27/01/2000,26,Vigo,1.72,Left,https://www.padelfip.com/es/player/ignacio-vilarino-gestoso/
74,Facundo Dominguez,ITA,931,09/11/1997,28,Mar del Plata,1.72,Left,https://www.padelfip.com/es/player/facundo-dominguez/
75,Alvaro Montiel Caruso,ITA,927,04/02/2005,21,Barcelona,1.8,Left,https://www.padelfip.com/es/player/alvaro-montiel-caruso/
76,Miguel Deus,POR,921,06/04/1993,33,Lisboa,1.79,Right,https://www.padelfip.com/es/player/miguel-deus/
77,Jose Luis Gonzalez,ESP,917,14/12/1997,28,Sevilla,1.8,Right,https://www.padelfip.com/es/player/jose-luis-gonzalez/
78,Mariano Agustin Gonzalez San Martin,PAR,904,16/10/2007,18,Encarnación,1.87,Left,https://www.padelfip.com/es/player/mariano-agustin-gonzalez-san-martin/
79,Ramiro Jesus Valenzuela,ARG,897,23/01/2005,21,Capital Federal,1.8,Left,https://www.padelfip.com/es/player/ramiro-jesus-valenzuela/
80,Emilio Sanchez Chamero,ESP,890,27/03/2003,23,Madrid,1.85,Left,https://www.padelfip.com/es/player/emilio-sanchez-chamero/
81,Javier Valdes,CHI,879,27/06/1996,29,Santiago de Chile,1.75,Right,https://www.padelfip.com/es/player/javier-valdes/
82,Aris Patiniotis,ITA,873,12/11/1991,34,Mar del Plata,1.75,Right,https://www.padelfip.com/es/player/aris-patiniotis/
83,Luciano Capra,ARG,869,16/09/1993,32,Quilmes,1.84,Right,https://www.padelfip.com/es/player/luciano-capra/
84,Juan Cruz Belluati,ARG,852,20/10/1993,32,Buenos Aires,1.76,Right,https://www.padelfip.com/es/player/juan-cruz-belluati/
85,Álvaro Melendez Amaya,ESP,845,22/03/2000,26,Sevilla,1.75,Left,https://www.padelfip.com/es/player/alvaro-melendez-amaya/
86,Teodoro Zapata,ESP,839,10/04/1995,31,Mérida,1.78,Left,https://www.padelfip.com/es/player/teodoro-zapata/
87,Diego Garcia Garcia,ESP,792,02/04/2006,20,La Linea de la Concepción,1.9,Left,https://www.padelfip.com/es/player/diego-garcia-garcia/
88,Miguel Lamperti,ARG,786,11/11/1978,47,Bahía Blanca,1.8,Left,https://www.padelfip.com/es/player/miguel-lamperti/
89,Anton Sans,ESP,775,29/09/1995,30,Tarragona,1.88,Right,https://www.padelfip.com/es/player/anton-sans/
90,Agustin Gutierrez,ARG,763,07/01/1998,28,San Luis,1.75,Left,https://www.padelfip.com/es/player/agustin-gutierrez/
91,Salvador Oria,ESP,740,01/10/1996,29,Valencia,1.8,Right,https://www.padelfip.com/es/player/salvador-oria/
92,Victor Mena,ESP,737,24/06/1999,26,Madrid,1.94,Left,https://www.padelfip.com/es/player/victor-mena/
92,Adrian Marques Berdonce,ESP,737,20/06/2002,24,Palma de Mallorca,1.75,Right,https://www.padelfip.com/es/player/adrian-marques-berdonce/
94,Mario Huete Hernandez,ESP,736,16/12/1993,32,Madrid,1.83,Left,https://www.padelfip.com/es/player/mario-huete-hernandez/
95,Clement Geens,BEL,725,11/03/1996,30,Uccle,1.8,Left,https://www.padelfip.com/es/player/clement-geens/
96,Marcos Gonzalez Blanco,ESP,711,05/07/2005,20,Málaga,1.8,Right,https://www.padelfip.com/es/player/marcos-gonzalez-blanco/
97,Marco Cassetta,ITA,687,27/05/1999,27,Torino,1.82,Left,https://www.padelfip.com/es/player/marco-cassetta/
98,Pedro Melendez Amaya,ESP,667,19/06/1997,29,Sevilla,1.79,Right,https://www.padelfip.com/es/player/pedro-melendez-amaya/
99,Dylan Guichard,FRA,664,05/06/2000,26,Rennes,1.9,Right,https://www.padelfip.com/es/player/dylan-guichard/
100,Martin Abud,PAR,657,31/01/2003,23,Encarnación,1.85,Left,https://www.padelfip.com/es/player/martin-abud/
101,Albert Roglan Pons,ESP,646,13/11/1998,27,Barcelona,1.9,Right,https://www.padelfip.com/es/player/albert-roglan-pons/
102,Facundo Rodrigo Luis Lopez,ARG,602,24/03/2004,22,Misiones,1.9,Left,https://www.padelfip.com/es/player/facundo-rodrigo-luis-lopez/
103,Santiago Jose Pineda Cabello,ESP,577,15/11/2006,19,Sevilla,1.81,Right,https://www.padelfip.com/es/player/santiago-jose-pineda-cabello/
104,Ferran Insa Sotillo,ESP,554,21/07/1994,31,Granollers,1.79,Left,https://www.padelfip.com/es/player/ferran-insa-sotillo/
105,Adam Axelsson,SWE,543,27/08/2005,20,Smalandsstenar,2.0,Left,https://www.padelfip.com/es/player/adam-axelsson/
106,Rodrigo Coello Manso,ESP,540,05/05/2004,22,Valladolid,1.81,Right,https://www.padelfip.com/es/player/rodrigo-coello-manso/
107,Arnau Ayats,UAE,532,07/03/2000,26,Vic,1.85,Left,https://www.padelfip.com/es/player/arnau-ayats/
108,Renzo Gabriel Nuñez,ARG,526,30/07/2006,19,Resistencia,1.8,Left,https://www.padelfip.com/es/player/renzo-gabriel-nunez/
109,Manuel Aragon Herrera,ESP,522,05/07/2006,19,Campillos,1.88,Left,https://www.padelfip.com/es/player/manuel-aragon-herrera/
110,Alberto Garcia Trabanco,ESP,519,26/09/2005,20,Gijón,1.86,Right,https://www.padelfip.com/es/player/alberto-garcia-trabanco/
111,Jesus Moya,ESP,515,28/04/2000,26,Melilla,1.81,Left,https://www.padelfip.com/es/player/jesus-moya/
112,Franco Renato Dal Bianco,ARG,511,04/03/2000,26,Quilmes,1.8,Left,https://www.padelfip.com/es/player/franco-renato-dal-bianco/
113,Pablo Sanchez Vicente,ESP,510,25/03/2006,20,Madrid,,Left,https://www.padelfip.com/es/player/pablo-sanchez-vicente/
114,Alfonso Sanchez Arriaga,ESP,501,10/08/1998,27,Valladolid,1.78,Left,https://www.padelfip.com/es/player/alfonso-sanchez-arriaga/
115,Miguel Melero Bernal,ESP,499,03/03/1999,27,Madrid,1.78,Right,https://www.padelfip.com/es/player/miguel-melero-bernal/
115,Roberto Belmont Pastor,ESP,499,27/04/2003,23,Madrid,1.73,Left,https://www.padelfip.com/es/player/roberto-belmont-pastor/
117,Guillem Figuerola Santiago,ESP,496,30/07/1998,27,Valls,1.76,Left,https://www.padelfip.com/es/player/guillem-figuerola-santiago/
118,Nacho Moragues Moltò,ESP,492,04/05/2005,21,Valencia,1.83,Right,https://www.padelfip.com/es/player/nacho-moragues-molto/
119,Ramiro Pereyra,ARG,485,16/09/1998,27,Mar del Plata,1.75,Left,https://www.padelfip.com/es/player/ramiro-pereyra/
120,Nicolas Zurita,ITA,478,25/04/2004,22,Mar del Plata,1.87,Left,https://www.padelfip.com/es/player/nicolas-zurita/
121,Rafael Mendez,ESP,465,22/01/1992,34,Jerez de la Frontera,1.97,Left,https://www.padelfip.com/es/player/rafael-mendez/
122,Adrian Naranjo Martinez,ESP,462,31/10/2006,19,Valencia,1.8,Right,https://www.padelfip.com/es/player/adrian-naranjo-martinez/
122,Alvaro Pozo Marroyo,ESP,462,25/05/2007,19,Cáceres,1.75,Left,https://www.padelfip.com/es/player/alvaro-pozo-marroyo/
124,Pedro Araujo,POR,459,11/03/2000,26,Lisboa,1.8,Left,https://www.padelfip.com/es/player/pedro-araujo/
125,Luis Oliver Artigas,ESP,458,15/04/2003,23,Palma de Mallorca,2.0,Left,https://www.padelfip.com/es/player/luis-oliver-artigas/
126,Fran Ramirez Navas,ESP,450,31/07/1991,34,Sevilla,1.74,Left,https://www.padelfip.com/es/player/fran-ramirez-navas/
127,Juan Pablo Dametto,ARG,447,27/03/1999,27,Córdoba,1.73,,https://www.padelfip.com/es/player/juan-pablo-dametto/
128,Jose Solano Marmolejo,ESP,445,02/06/2000,26,Málaga,1.7,Right,https://www.padelfip.com/es/player/jose-solano-marmolejo/
129,Boris Castro Garcia,ESP,444,11/06/1998,28,Douala,1.84,Left,https://www.padelfip.com/es/player/boris-castro-garcia/
130,Jaume Romera Barcelo,ESP,443,17/06/2005,21,Palma de Mallorca,1.84,Left,https://www.padelfip.com/es/player/jaume-romera-barcelo/
131,Ignacio Archieri,ARG,440,14/02/2006,20,Loberia,1.82,Right,https://www.padelfip.com/es/player/ignacio-archieri/
132,Alejandro Jerez Carnero,ESP,435,05/10/2005,20,Málaga,1.86,Right,https://www.padelfip.com/es/player/alejandro-jerez-carnero/
133,Maximo Jesus Maldonado,ARG,431,22/05/2004,22,Rosario del Tala,1.86,Right,https://www.padelfip.com/es/player/maximo-jesus-maldonado/
134,Jose Rico,ESP,428,21/09/1995,30,Valencia,1.76,Right,https://www.padelfip.com/es/player/jose-rico/
135,Pau Miñano Ortinez,ESP,426,03/11/2005,20,Palma,1.8,Right,https://www.padelfip.com/es/player/pau-minano-ortinez/
136,Juan Zamora Perez,ESP,423,09/06/2008,18,Osuna,1.66,Left,https://www.padelfip.com/es/player/juan-zamora-perez/
137,Simone Cremona,ITA,419,14/09/1987,38,Codogno,1.81,Right,https://www.padelfip.com/es/player/simone-cremona/
138,Alejandro Merino Nieto,ESP,415,04/10/2007,18,Salamanca,1.85,Right,https://www.padelfip.com/es/player/alejandro-merino-nieto/
139,José Enrique Giménez Barcelona,ESP,414,03/10/2007,18,Zaragoza,1.81,Left,https://www.padelfip.com/es/player/jose-enrique-gimenez-barcelona/
140,Luciano Puppo,ARG,408,03/09/2001,24,Buenos Aires,1.74,Left,https://www.padelfip.com/es/player/luciano-puppo/
140,Julian Lacamoire,ARG,408,04/04/2004,22,Lanus,1.76,Right,https://www.padelfip.com/es/player/julian-lacamoire/
142,Guillermo Fernandez Sanchez,ESP,406,25/10/2007,18,Segovia,1.87,Left,https://www.padelfip.com/es/player/guillermo-fernandez-sanchez/
143,Felipe Calleja,ARG,403,10/03/2001,25,La Paz,1.85,Right,https://www.padelfip.com/es/player/felipe-calleja/
144,Daniel Luna Peinado,ESP,402,16/04/2002,24,Palma de Mallorca,1.84,Left,https://www.padelfip.com/es/player/daniel-luna-peinado/
145,Youp De Kroon,NED,400,18/10/2004,21,Breda,1.88,Right,https://www.padelfip.com/es/player/youp-de-kroon/
145,Julian Prins,NED,400,07/02/2000,26,Breda,1.88,Left,https://www.padelfip.com/es/player/julian-prins/
147,Sten Richters,NED,399,16/04/1999,27,Zoetermeer,1.86,Left,https://www.padelfip.com/es/player/sten-richters/
148,Giulio Graziotti,ITA,397,28/08/1998,27,Roma,,Left,https://www.padelfip.com/es/player/giulio-graziotti/
149,Miguel Morales Domenech,ESP,393,12/09/2001,24,Valencia,1.82,Right,https://www.padelfip.com/es/player/miguel-morales-domenech/
150,Marcos Cordoba,ESP,381,21/12/2004,21,Tenerife,1.84,Right,https://www.padelfip.com/es/player/marcos-cordoba/
151,Timeo Fonteny,FRA,380,18/03/2007,19,Antibes,1.78,Left,https://www.padelfip.com/es/player/timeo-fonteny/
152,Adrian Ronco Lopez,ESP,375,31/10/1997,28,Madrid,1.79,Right,https://www.padelfip.com/es/player/adrian-ronco-lopez/
153,Jaime Perez Martin,ESP,372,05/11/2007,18,Valladolid,,,https://www.padelfip.com/es/player/jaime-perez-martin/
154,Pedro Graca,POR,371,09/06/2003,23,Faro,1.8,Left,https://www.padelfip.com/es/player/pedro-graca/
155,Gustavo Nunes,POR,370,28/10/2006,19,Aveiro,1.91,Left,https://www.padelfip.com/es/player/gustavo-nunes/
156,Federico Chiostri,ARG,365,22/02/1999,27,San Nicolas de los Arroyos,1.66,Right,https://www.padelfip.com/es/player/federico-chiostri/
157,Javier Rico,ESP,362,15/05/1998,28,Valencia,1.67,Right,https://www.padelfip.com/es/player/javier-rico/
158,Alberto Garcia Jimenez,ESP,360,14/04/2002,24,Albacete,1.7,Right,https://www.padelfip.com/es/player/alberto-garcia-jimenez/
159,Hector Vazquez Lopez,ESP,359,28/04/2004,22,Madrid,1.82,Right,https://www.padelfip.com/es/player/hector-vazquez-lopez/
160,Pepe Aliaga,ESP,358,01/03/2004,22,Ecija,1.9,Left,https://www.padelfip.com/es/player/pepe-aliaga/
161,Pablo Reina Ambel,ESP,356,09/06/2006,20,Granada,1.87,Left,https://www.padelfip.com/es/player/pablo-reina-ambel/
161,Simone Iacovino,ITA,356,11/02/2002,24,Roma,1.83,Left,https://www.padelfip.com/es/player/simone-iacovino/
163,Albin Olsson,SWE,354,26/02/2002,24,Eskilstuna,2.01,Right,https://www.padelfip.com/es/player/albin-olsson/
164,Pedro Perry,POR,348,06/09/2001,24,Porto,1.82,Left,https://www.padelfip.com/es/player/pedro-perry/
165,Diego Dorta Diaz,ESP,347,15/04/2004,22,Tenerife,1.8,Right,https://www.padelfip.com/es/player/diego-dorta-diaz/
166,Miguel Gonzalez,ESP,346,21/05/1997,29,Melilla,1.84,Left,https://www.padelfip.com/es/player/miguel-gonzalez/
167,Johan Bergeron,FRA,345,12/06/1993,33,Lyon,1.76,Left,https://www.padelfip.com/es/player/johan-bergeron/
168,Antonio Luque,POR,344,09/09/1987,38,Jaen,1.84,Left,https://www.padelfip.com/es/player/antonio-luque/
169,Sergio Tierno Herrero,ESP,340,15/06/2007,19,Segovia,1.74,Right,https://www.padelfip.com/es/player/sergio-tierno-herrero/
170,Christian Fuster,ESP,339,25/08/1989,36,Villajoyosa,1.9,Left,https://www.padelfip.com/es/player/christian-fuster/
171,Diego Arredondo Garcia,MEX,337,02/09/2007,18,Metepec,1.63,Right,https://www.padelfip.com/es/player/diego-arredondo-garcia/
172,Julien Seurin,FRA,336,12/05/1997,29,Né à Melun,1.85,Right,https://www.padelfip.com/es/player/julien-seurin/
173,Thijs Roper,NED,330,07/03/2005,21,Maarn,,Left,https://www.padelfip.com/es/player/thijs-roper/
174,Victor Tur Checa,ESP,325,21/02/2004,22,Ibiza,1.77,Left,https://www.padelfip.com/es/player/victor-tur-checa/
175,Diego Gil,ESP,316,27/03/1998,28,Las Palmas,1.87,Right,https://www.padelfip.com/es/player/diego-gil/
176,Alejandro Calvo Perez,ESP,314,08/10/2007,18,Jaen,1.83,Left,https://www.padelfip.com/es/player/alejandro-calvo-perez/
177,Sergio Arias Aznar,ESP,313,02/05/2004,22,Murcia,1.88,Left,https://www.padelfip.com/es/player/sergio-arias-aznar/
178,Agustin Reca,GER,312,22/11/2003,22,Madrid,1.95,Right,https://www.padelfip.com/es/player/agustin-reca/
179,Marcel Font,ESP,310,03/04/2007,19,Barcelona,,Left,https://www.padelfip.com/es/player/marcel-font/
180,Miguel Angel Solbes,ESP,307,16/03/1988,38,Villajoyosa,1.86,Right,https://www.padelfip.com/es/player/miguel-angel-solbes/
181,Thomas Leygue,FRA,293,04/12/2001,24,Aix-en-provence,1.88,Right,https://www.padelfip.com/es/player/thomas-leygue/
181,Yoan Boronad,FRA,293,12/09/2007,18,Perpignan,1.74,Right,https://www.padelfip.com/es/player/yoan-boronad/
183,Bastien Blanque,FRA,292,10/05/1995,31,Toulouse,1.8,Left,https://www.padelfip.com/es/player/bastien-blanque/
184,Francisco Maier,ARG,287,27/05/2006,20,Necochea,1.79,Left,https://www.padelfip.com/es/player/francisco-maier/
185,Christian Medina Murphy,GBR,284,26/08/1998,27,Kingstom,1.87,Left,https://www.padelfip.com/es/player/christian-medina-murphy/
186,Borja Trujillo Chang,ESP,282,02/07/2004,21,Las Palmas,1.79,Left,https://www.padelfip.com/es/player/borja-trujillo-chang/
187,Iago Fuertes Leonardo,ESP,279,13/02/2010,16,Narón,1.7,Right,https://www.padelfip.com/es/player/iago-fuertes-leonardo/
188,Albert Trillas Garcia,ESP,278,18/02/2005,21,Barcelona,1.88,Right,https://www.padelfip.com/es/player/albert-trillas-garcia/
188,Douglas Rutgersson,SWE,278,02/03/2002,24,Helsingborg,1.88,Right,https://www.padelfip.com/es/player/douglas-rutgersson/
190,Lorenzo Di Giovanni,ITA,275,25/12/1987,38,Chieti,1.9,Left,https://www.padelfip.com/es/player/lorenzo-di-giovanni/
191,Pablo Pastor Landaburu,ESP,273,14/11/1999,26,Granada,1.92,Right,https://www.padelfip.com/es/player/pablo-pastor-landaburu/
191,Samuel Rivas Garcia,ESP,273,16/11/2008,17,Salamanca,1.75,Right,https://www.padelfip.com/es/player/samuel-rivas-garcia/
193,Alvaro Lopez Luque,ESP,270,15/03/2002,24,Madrid,1.8,Left,https://www.padelfip.com/es/player/alvaro-lopez-luque/
194,Joao Maria Caiano,POR,269,23/02/2005,21,Porto,1.74,Right,https://www.padelfip.com/es/player/joao-maria-caiano/
194,Joel Olivera Palos,ESP,269,07/10/2004,21,Barcelona,1.86,Right,https://www.padelfip.com/es/player/joel-olivera-palos/
196,Mateo Rivero,ARG,267,23/05/2006,20,Balcarce,1.75,Right,https://www.padelfip.com/es/player/mateo-rivero/
197,Leonardo Yob,ARG,265,30/05/2002,24,San Francisco,1.9,Right,https://www.padelfip.com/es/player/leonardo-yob/
198,Willy Släryd,SWE,261,31/08/2006,19,Ullared,1.8,Right,https://www.padelfip.com/es/player/willy-slaryd/
199,Dylan Demian Cuello,ARG,260,11/12/2000,25,El Trebol Santa fe,1.87,Left,https://www.padelfip.com/es/player/dylan-demian-cuello/
200,Miguel Benitez Lara,ESP,255,18/08/1996,29,Puerto de Santa María,1.9,Left,https://www.padelfip.com/es/player/miguel-benitez-lara/
200,Sergio Icardo,UAE,255,04/10/1989,36,Valencia,1.78,Right,https://www.padelfip.com/es/player/sergio-icardo/
202,Simon Vasquez,SWE,249,21/12/1992,33,Angelholm,1.75,Right,https://www.padelfip.com/es/player/simon-vasquez/
203,Ramiro Moyano,ARG,245,25/10/1989,36,La Plata,1.85,Left,https://www.padelfip.com/es/player/ramiro-moyano/
204,Jordi Casanova Bataller,ESP,241,04/04/1994,32,Alberic,,,https://www.padelfip.com/es/player/jordi-casanova-bataller/
205,Giuseppe Fino,ITA,240,12/12/2006,19,Corigliano Calabro,1.84,Right,https://www.padelfip.com/es/player/giuseppe-fino/
206,Santino Giuliani Lombardo,ITA,239,21/07/2002,23,San Luis,,,https://www.padelfip.com/es/player/santino-giuliani-lombardo/
207,Diogo Jesus,POR,237,28/09/1998,27,Lisbon,1.75,Right,https://www.padelfip.com/es/player/diogo-jesus/
